language,lang_code,country,number_of_speakers,corpus_size,corpus_metric_used,cluster_class,cluster_name,category,family,script_type
Latgalian,ltg,Unknown,200000,5306099,words,0,Cluster 0,Indigenous,Indo-European,Latin
Goan Konkani,gom,Unknown,3727900,4951610,words,0,Cluster 0,Regional,Indo-European,Non-Latin
Lezghian,lez,Unknown,516210,4916014,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Sango,sag,Unknown,5217000,4864044,words,0,Cluster 0,Regional,Creole,Latin
Congo Swahili,swc,Unknown,11150000,4768935,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Võro,vro,Unknown,87210,4758556,words,0,Cluster 0,Indigenous,Uralic,Latin
Avaric,ava,Unknown,703000,4632268,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Erzya,myv,Unknown,236660,4584817,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Manipuri,mni,Unknown,2261000,4492845,words,0,Cluster 0,Regional,Sino-Tibetan,Non-Latin
Kabardian,kbd,Unknown,1877800,4480568,words,0,Cluster 0,Regional,Abkhaz-Adyghe,Non-Latin
Gagauz,gag,Unknown,200690,4478524,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Central Bikol,bcl,Unknown,3890000,4444804,words,0,Cluster 0,Regional,Austronesian,Latin
Ingush,inh,Unknown,353000,4409602,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Ndonga,ndo,Unknown,279000,4403918,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Southern Uzbek,uzs,Unknown,4698900,4221537,words,0,Cluster 0,Regional,Turkic,Non-Latin
Shan,shn,Unknown,4687700,4022226,words,0,Cluster 0,Regional,Kra-Dai,Non-Latin
Sranan Tongo,srn,Unknown,679400,3882735,words,0,Cluster 0,Indigenous,Creole,Latin
Thado Chin,tcz,Unknown,346100,3882261,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Emilian-Romagnol,eml,Unknown,58000,3875977,words,0,Cluster 0,Indigenous,Indo-European,Latin
Wolof,wol,Unknown,17342800,3867973,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Ga,gaa,Unknown,819560,3848603,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Gronings,gos,Unknown,262000,3802597,words,0,Cluster 0,Indigenous,Indo-European,Latin
Pfaelzisch,pfl,Unknown,400000,3782666,words,0,Cluster 0,Indigenous,Indo-European,Latin
Silesian,szl,Unknown,596000,3775003,words,0,Cluster 0,Indigenous,Indo-European,Latin
Dimli (individual language),diq,Unknown,1280000,3656334,words,0,Cluster 0,Regional,Indo-European,Latin
Kashubian,csb,Unknown,99200,3625287,words,0,Cluster 0,Indigenous,Indo-European,Latin
Brahui,brh,Unknown,3005000,3567992,words,0,Cluster 0,Regional,Dravidian,Non-Latin
Efik,efi,Unknown,2757620,3552903,words,0,Cluster 0,Regional,Niger-Congo,Latin
Wu Chinese,wuu,Unknown,83401190,3485324,words,0,Cluster 0,Major Regional,Sino-Tibetan,Non-Latin
Ladino,lad,Unknown,51016,3407818,words,0,Cluster 0,Indigenous,Indo-European,Non-Latin
Venda,ven,Unknown,3030000,3354140,words,0,Cluster 0,Regional,Niger-Congo,Latin
Western Mari,mrj,Unknown,15400,3315808,words,0,Cluster 0,Indigenous,Uralic,Non-Latin
Mesopotamian Arabic,acm,Unknown,20085350,3279411,words,0,Cluster 0,Major Regional,Afro-Asiatic,Non-Latin
Vlaams,vls,Unknown,1232000,3273813,words,0,Cluster 0,Regional,Indo-European,Latin
Lozi,loz,Unknown,734000,3267142,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Yucateco,yua,Unknown,802520,3254741,words,0,Cluster 0,Indigenous,Mayan,Latin
Kaqchikel,cak,Unknown,415370,3243623,words,0,Cluster 0,Indigenous,Mayan,Latin
Kumyk,kum,Unknown,402600,3232121,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Paite Chin,pck,Unknown,79500,3166877,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Adyghe,ady,Unknown,638200,3160197,words,0,Cluster 0,Indigenous,Abkhaz-Adyghe,Non-Latin
Karachay-Balkar,krc,Unknown,280200,3131656,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Bislama,bis,Unknown,122200,3129423,words,0,Cluster 0,Indigenous,Creole,Latin
Tok Pisin,tpi,Unknown,4125630,3058252,words,0,Cluster 0,Regional,Creole,Latin
Picard,pcd,Unknown,700000,3014295,words,0,Cluster 0,Indigenous,Indo-European,Latin
Southern Altai,alt,Unknown,62600,2942634,words,0,Cluster 0,Indigenous,Turkic,Non-Latin
Tzotzil,tzo,Unknown,552700,2942115,words,0,Cluster 0,Indigenous,Mayan,Latin
Arpitan,frp,Unknown,157000,2833689,words,0,Cluster 0,Indigenous,Indo-European,Latin
Luba-Lulua,lua,Unknown,7060000,2750283,words,0,Cluster 0,Regional,Niger-Congo,Latin
Mossi,mos,Unknown,11896700,2746296,words,0,Cluster 0,Major Regional,Niger-Congo,Latin
Kölsch,ksh,Unknown,250000,2732556,words,0,Cluster 0,Indigenous,Indo-European,Latin
Kuanyama,kua,Unknown,1429000,2664533,words,0,Cluster 0,Regional,Niger-Congo,Latin
Pohnpeian,pon,Unknown,34930,2617476,words,0,Cluster 0,Indigenous,Austronesian,Latin
Chimborazo Highland Quichua,qug,Unknown,1000000,2611806,words,0,Cluster 0,Regional,Quechuan,Latin
K'iche',quc,Unknown,1055890,2598519,words,0,Cluster 0,Regional,Mayan,Latin
Koongo,kng,Unknown,8016500,2586064,words,0,Cluster 0,Regional,Niger-Congo,Latin
Ligurian,lij,Unknown,147820,2512861,words,0,Cluster 0,Indigenous,Indo-European,Latin
Gilbertese,gil,Unknown,130378,2476437,words,0,Cluster 0,Indigenous,Austronesian,Latin
Kabuverdianu,kea,Unknown,781610,2476098,words,0,Cluster 0,Indigenous,Creole,Latin
Mam,mam,Unknown,602400,2473474,words,0,Cluster 0,Indigenous,Mayan,Latin
Achinese,ace,Unknown,2550000,2470237,words,0,Cluster 0,Regional,Austronesian,Latin
Tiv,tiv,Unknown,4956000,2458004,words,0,Cluster 0,Regional,Niger-Congo,Latin
Tornedalen Finnish,fit,Unknown,60000,2429477,words,0,Cluster 0,Indigenous,Uralic,Latin
Venetian,vec,Unknown,3852500,2393369,words,0,Cluster 0,Regional,Indo-European,Latin
Tuvalu,tvl,Unknown,14730,2352867,words,0,Cluster 0,Indigenous,Austronesian,Latin
Luba-Katanga,lub,Unknown,4680000,2308384,words,0,Cluster 0,Regional,Niger-Congo,Latin
Banjar,bjn,Unknown,3655000,2303855,words,0,Cluster 0,Regional,Austronesian,Non-Latin
Lak,lbe,Unknown,98100,2294677,words,0,Cluster 0,Indigenous,Nakh-Daghestanian,Non-Latin
Karelian,krl,Unknown,19900,2273422,words,0,Cluster 0,Indigenous,Uralic,Latin
Lower Sorbian,dsb,Unknown,6670,2233442,words,0,Cluster 0,Indigenous,Indo-European,Latin
Isoko,iso,Unknown,740000,2183274,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Tonga (Nyasa),tog,Unknown,382000,2181488,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Livvi,olo,Unknown,30770,2145785,words,0,Cluster 0,Indigenous,Uralic,Latin
Cornish,cor,Unknown,600,2143237,words,0,Cluster 0,Indigenous,Indo-European,Latin
Nzima,nzi,Unknown,427000,2114334,words,0,Cluster 0,Indigenous,Niger-Congo,Latin
Réunion Creole French,rcf,Unknown,809000,2113926,words,0,Cluster 0,Indigenous,Creole,Latin
Eastern Canadian Inuktitut,ike,Unknown,41700,2034692,words,0,Cluster 0,Indigenous,Eskimo-Aleut,Non-Latin
Luo (Kenya and Tanzania),luo,Unknown,5255000,1990724,words,0,Cluster 0,Regional,Nilo-Saharan,Latin
Tzeltal,tzh,Unknown,589000,1977655,words,0,Cluster 0,Indigenous,Mayan,Latin
Veps,vep,Unknown,1270,1942368,words,0,Cluster 0,Indigenous,Uralic,Latin
Abkhazian,abk,Unknown,172180,1890960,words,0,Cluster 0,Indigenous,Abkhaz-Adyghe,Non-Latin
Tetum,tet,Unknown,491200,1856796,words,0,Cluster 0,Indigenous,Austronesian,Latin
Rarotongan,rar,Unknown,27190,1856586,words,0,Cluster 0,Indigenous,Austronesian,Latin
Central Aymara,ayr,Unknown,1464100,1728753,words,0,Cluster 0,Regional,Aymaran,Latin
Wolaytta,wal,Unknown,2789800,1700722,words,0,Cluster 0,Regional,Afro-Asiatic,Latin
South Ndebele,nbl,Unknown,2490000,1693920,words,0,Cluster 0,Regional,Niger-Congo,Latin
Pangasinan,pag,Unknown,1246730,1693561,words,0,Cluster 0,Regional,Austronesian,Latin
Batak Simalungun,bts,Unknown,151000,1690201,words,0,Cluster 0,Indigenous,Austronesian,Latin
Batak Karo,btx,Unknown,491000,1671898,words,0,Cluster 0,Indigenous,Austronesian,Latin
Baoulé,bci,Unknown,5284060,1634944,words,0,Cluster 0,Regional,Niger-Congo,Latin
Hmar,hmr,Unknown,99000,1612389,words,0,Cluster 0,Indigenous,Sino-Tibetan,Latin
Chuukese,chk,Unknown,81600,1591535,words,0,Cluster 0,Indigenous,Austronesian,Latin
